[2017-01-12 11:46:55]   Started, pid: 728
[2017-01-12 11:46:57]   extracting: c:\test\C-222.pdf -> c:/SIE/C-222.txt
[2017-01-12 11:46:57]   extracting: c:\test\c233.pdf -> c:/SIE/c233.txt
[2017-01-12 11:46:57]   extracting: c:\test\cmb03.pdf -> c:/SIE/cmb03.txt
[2017-01-12 11:46:57]   extracting: c:\test\cs401.pdf -> c:/SIE/cs401.txt
[2017-01-12 11:46:57]   extracting: c:\test\dc72.pdf -> c:/SIE/dc72.txt
[2017-01-12 11:46:57]   extracting: c:\test\etr5271.pdf -> c:/SIE/etr5271.txt
[2017-01-12 11:46:57]   extracting: c:\test\ext003.pdf -> c:/SIE/ext003.txt
[2017-01-12 11:46:58]   extracting: c:\test\h902.pdf -> c:/SIE/h902.txt
[2017-01-12 11:46:58]   extracting: c:\test\il323.pdf -> c:/SIE/il323.txt
[2017-01-12 11:46:58]   extracting: c:\test\il5521.pdf -> c:/SIE/il5521.txt
[2017-01-12 11:46:58]   extracting: c:\test\ls-345.pdf -> c:/SIE/ls-345.txt
[2017-01-12 11:46:58]   extracting: c:\test\pb-77.pdf -> c:/SIE/pb-77.txt
[2017-01-12 11:46:58]   extracting: c:\test\rdt-843.pdf -> c:/SIE/rdt-843.txt
[2017-01-12 11:46:58]   extracting: c:\test\rdt-876.pdf -> c:/SIE/rdt-876.txt
[2017-01-12 11:46:58]   extracting: c:\test\rdt966.pdf -> c:/SIE/rdt966.txt
[2017-01-12 11:46:58]   extracting: c:\test\rdt993.pdf -> c:/SIE/rdt993.txt
[2017-01-12 11:46:58]   extracting: c:\test\sm6637.pdf -> c:/SIE/sm6637.txt
[2017-01-12 11:46:58]   extracting: c:\test\t2277.pdf -> c:/SIE/t2277.txt
[2017-01-12 11:46:58]   extracting: c:\test\t2277re.pdf -> c:/SIE/t2277re.txt
[2017-01-12 11:46:58]   extracting: c:\test\t7317.pdf -> c:/SIE/t7317.txt
[2017-01-12 11:46:58]   extracting: c:\test\tr385.pdf -> c:/SIE/tr385.txt
[2017-01-12 11:46:58]   extracting: c:\test\tr501.pdf -> c:/SIE/tr501.txt
[2017-01-12 11:46:58]   extracting: c:\test\tr5237.pdf -> c:/SIE/tr5237.txt
[2017-01-12 11:46:58]   extracting: c:\test\tr598.pdf -> c:/SIE/tr598.txt
[2017-01-12 11:46:58]   extracting: c:\test\tr602.pdf -> c:/SIE/tr602.txt
[2017-01-12 11:46:58]   extracting: c:\test\tr625.pdf -> c:/SIE/tr625.txt
[2017-01-12 11:46:58]   extracting: c:\test\tr632.pdf -> c:/SIE/tr632.txt
[2017-01-12 11:46:58]   extracting: c:\test\tr632re.pdf -> c:/SIE/tr632re.txt
[2017-01-12 11:46:59]   extracting: c:\test\tr6348.pdf -> c:/SIE/tr6348.txt
[2017-01-12 11:46:59]   extracting: c:\test\tr7015.pdf -> c:/SIE/tr7015.txt
[2017-01-12 11:46:59]   extracting: c:\test\tr843.pdf -> c:/SIE/tr843.txt
[2017-01-12 11:46:59]   extracting: c:\test\ut276.pdf -> c:/SIE/ut276.txt
